Check,Category
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Only_Cis
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Only_Cis
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Compensating
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Only_Trans
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Trans
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Only_Cis
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Conserved
Adult_CC,Compensating
Adult_CC,Only_Cis
Adult_CC,Ambiguous
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Conserved
Adult_CC,Only_Cis
Adult_CC,Compensating
Adult_CC,Ambiguous
Adult_CC,Ambiguous
Adult_CC,Conserved
